DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AL,2011,8.70,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AL,2012,7.00,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AL,2014,7.00,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AL,2015,7.00,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AL,2016,9.00,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AL,2017,9.00,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AL,2018,9.70,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AL,2019,7.90,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AL,2020,12.65,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AL,2021,15.30,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2011,859.38,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2012,662.47,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2013,734.05,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2014,845.71,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2015,835.55,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2016,854.70,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2017,777.48,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2018,691.03,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2019,828.13,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2020,864.86,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2021,742.53,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,AT,2022,762.71,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BA,2011,66.43,e
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BA,2012,66.10,e
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BA,2013,71.67,e
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BA,2014,49.21,e
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BA,2015,63.93,e
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BA,2016,78.19,e
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BA,2017,77.21,e
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BA,2018,79.98,e
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BA,2019,75.33,e
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BA,2020,89.77,e
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BA,2021,87.77,e
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BE,2011,339.26,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BE,2012,363.60,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BE,2013,395.80,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BE,2014,399.04,
ESTAT:TAG00051(1.0),29/11/22 23:00:00,A,C1300,PR_HU_EU,BE,2015,434.65,
