DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AL,2011,289.40,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AL,2012,296.51,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AL,2014,276.74,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AL,2015,271.80,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AL,2016,271.80,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AL,2018,237.51,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AL,2019,233.20,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AL,2020,233.40,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AL,2021,225.20,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2011,1781.84,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2012,1275.50,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2013,1597.71,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2014,1804.02,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2015,1715.70,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2016,1965.54,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2017,1434.38,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2018,1367.06,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2019,1596.88,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2020,1652.74,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2021,1547.60,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,AT,2022,1702.69,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BA,2011,212.45,e
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BA,2012,227.75,e
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BA,2013,268.24,e
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BA,2014,172.03,e
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BA,2015,215.49,e
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BA,2016,310.17,e
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BA,2017,292.10,e
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BA,2018,299.25,e
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BA,2019,267.85,e
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BA,2020,325.55,e
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BA,2021,325.64,e
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2011,1677.92,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2012,1821.80,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2013,1847.89,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2014,1892.20,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2015,2069.02,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2016,1431.44,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2017,1690.84,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2018,1661.86,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2019,1902.38,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2020,1741.48,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2021,1629.18,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BE,2022,1884.39,p
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BG,2011,4588.10,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BG,2012,4600.15,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BG,2013,5652.17,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BG,2014,5458.99,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BG,2015,5140.14,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BG,2016,5942.78,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BG,2017,6318.08,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BG,2018,5954.52,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BG,2019,6319.63,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BG,2020,4847.94,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,BG,2021,7342.99,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,CH,2011,560.68,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,CH,2012,519.31,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,CH,2013,488.36,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,CH,2014,557.07,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,CH,2015,533.21,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,CH,2016,391.11,
ESTAT:TAG00047(1.0),29/11/22 23:00:00,A,C1100,PR_HU_EU,CH,2017,536.65,
