DATAFLOW,LAST UPDATE,freq,treespec,prod_wd,unit,bark,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CY,2011,3.54,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CY,2012,6.52,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CY,2013,5.67,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CY,2014,4.83,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CY,2015,7.49,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CY,2016,13,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CY,2017,13.62,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CY,2018,8.84,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CY,2019,7.39,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CY,2020,6.36,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CZ,2011,1914,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CZ,2012,2020,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CZ,2013,2182,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CZ,2014,2111,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CZ,2015,2336,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CZ,2016,2344,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CZ,2017,2376,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CZ,2018,4246,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,CZ,2019,5922,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DE,2011,10783.35,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DE,2012,9475.53,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DE,2013,11155.25,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DE,2014,11113.64,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DE,2015,10493.77,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DE,2016,9413,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DE,2017,22388.94,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DE,2018,22358.98,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DE,2019,23697.48,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DE,2020,22261.46,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DK,2011,1115.41,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DK,2013,1949.63,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DK,2014,1949.63,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DK,2015,2014.59,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,DK,2016,2014.59,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EE,2011,1881,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EE,2012,1926,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EE,2013,2439,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EE,2014,2256.82,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EE,2015,3075,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EE,2016,3192,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EE,2017,4456.44,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EE,2018,4755.91,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EE,2019,4271.97,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EE,2020,4135.53,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EL,2011,857.18,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EL,2013,764.89,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EL,2017,858.93,p
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,ES,2011,3900,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,ES,2013,3435,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,ES,2014,3709,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,ES,2015,4522.87,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,ES,2016,2923,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,ES,2017,2268.59,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,ES,2018,3506.32,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,ES,2019,1615.43,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,ES,2020,1615.43,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU27_2020,2011,94001.43,s
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU27_2020,2012,95390.01,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU27_2020,2013,98343.62,s
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU27_2020,2014,96981.11,s
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU27_2020,2015,99060.75,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU27_2020,2016,97438.32,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU27_2020,2017,109623.52,s
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU27_2020,2018,113945.6,s
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU27_2020,2019,115008.7,s
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU27_2020,2020,113759.74,s
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU28,2011,95235.23,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU28,2012,96722,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,EU28,2013,99921.1,e
