DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AL,2011,349.36,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AL,2012,343.26,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AL,2014,380.00,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AL,2015,380.00,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AL,2016,379.70,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AL,2017,381.10,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AL,2018,391.10,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AL,2019,389.00,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AL,2020,399.13,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AL,2021,414.30,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2011,2453.13,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2012,2351.37,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2013,1639.02,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2014,2334.39,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2015,1637.91,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2016,2179.59,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2017,2075.98,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2018,2130.34,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2019,2298.88,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2020,2411.93,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2021,2434.90,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,AT,2022,2088.16,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BA,2011,773.00,e
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BA,2012,545.70,e
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BA,2013,807.78,e
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BA,2014,807.77,e
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BA,2015,794.97,e
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BA,2016,1192.13,e
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BA,2017,717.62,e
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BA,2018,1287.13,e
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BA,2019,1249.96,e
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BA,2020,1442.94,e
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BA,2021,903.51,e
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BE,2011,688.75,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BE,2012,569.82,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BE,2013,663.26,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BE,2014,640.96,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BE,2015,548.72,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BE,2016,389.05,
ESTAT:TAG00093(1.0),29/11/22 23:00:00,A,C1500,PR_HU_EU,BE,2017,503.92,
