DATAFLOW,LAST UPDATE,freq,so_eur,croparea,crops,unit,agrarea,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,LV,2016,13630,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,MK,2013,70510,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,MT,2013,2130,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,MT,2016,2900,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,NL,2013,5690,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,NL,2016,5700,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,NO,2013,1380,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,PL,2013,210540,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,PL,2016,173920,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,PT,2013,212910,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,PT,2016,203990,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,RO,2013,1063030,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,RO,2016,974310,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,SE,2013,1180,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,SE,2016,940,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,SI,2013,39820,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,SI,2016,36560,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,SK,2013,1240,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,SK,2016,1800,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,UK,2013,6400,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,UK,2016,6250,
