DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AL,2011,3.32,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AL,2012,3.32,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AL,2014,3.00,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AL,2015,3.00,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AL,2016,2.70,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AL,2017,2.70,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AL,2018,2.30,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AL,2019,2.60,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AL,2020,3.24,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AL,2021,3.30,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2011,217.11,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2012,218.85,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2013,248.92,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2014,250.21,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2015,184.94,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2016,201.34,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2017,141.27,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2018,188.24,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2019,212.35,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2020,231.20,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2021,164.33,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,AT,2022,180.68,
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,BA,2011,9.78,e
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,BA,2012,10.87,e
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,BA,2013,12.20,e
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,BA,2014,10.08,e
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,BA,2015,10.77,e
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,BA,2016,13.46,e
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,BA,2017,10.98,e
ESTAT:TAG00049(1.0),29/11/22 23:00:00,A,C1200,PR_HU_EU,BA,2018,11.54,e
