DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AL,2014,74.90,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AL,2015,75.10,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AL,2016,78.50,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AL,2017,87.70,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AL,2018,93.50,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AL,2019,87.40,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AL,2020,108.50,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AL,2021,96.50,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AT,2011,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AT,2012,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AT,2013,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AT,2014,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AT,2015,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AT,2017,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AT,2018,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AT,2019,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AT,2020,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AT,2021,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,AT,2022,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BA,2011,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BA,2012,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BA,2013,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BA,2014,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BA,2015,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BA,2016,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BA,2017,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BA,2018,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BA,2019,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BA,2020,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BA,2021,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2011,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2012,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2013,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2014,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2015,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2016,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2017,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2018,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2019,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2020,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2021,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BE,2022,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2011,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2012,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2013,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2014,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2015,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2016,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2017,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2018,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2019,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2020,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2021,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,BG,2022,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CH,2014,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CH,2015,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CH,2016,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CH,2017,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CH,2018,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CH,2019,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CH,2021,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CH,2022,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2011,7.64,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2012,9.62,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2013,9.76,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2014,13.76,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2015,11.32,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2016,9.01,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2017,16.46,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2018,15.98,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2019,22.32,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2020,20.62,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2021,14.74,p
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CY,2022,15.50,e
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CZ,2011,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CZ,2012,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CZ,2013,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CZ,2014,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CZ,2015,0.00,
ESTAT:TAG00122(1.0),29/11/22 23:00:00,A,O1910,PR_HU_EU,CZ,2016,0.00,
