DATAFLOW,LAST UPDATE,freq,unit,hazard,nace_r2,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2004,53020950,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2006,54286603,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2008,56308766,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2010,46799579,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2012,48045089,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2014,55868298,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2016,61225037,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2018,65666128,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2020,68906034,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA,2012,4456556,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA,2014,5540772,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA,2016,6127022,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA,2018,6747605,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA,2020,6753458,
ESTAT:TEN00108(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE,2004,52809345,
